Champagne	香檳
 Wine 	 紅酒 
 Beer 	 啤酒 
 Whiskey 	 威士忌 
 Disco 	 迪斯可 
 Casino 	 賭場 
HOUSE RULES	莊家規則
Lambskin	羊腸膜
Latex	乳膠
Smooth	平滑
Ribbed	顆粒
Colored	彩色
Plain	素面
Lubricated	潤滑
Rough-cut	粗裁
rough-cut	粗裁
Striped	條紋
Plaid	格紋
Peppermint	薄荷
Spearmint	留蘭香
Light	輕薄
Heavy	厚實
Normal	標準
Industrial	工業級
Spermicide	含殺精
non-spermicidal	不含殺精
Large	大號
Giant	巨無霸
Gonzo	誇張號
Ivan	伊凡
Ken	肯恩
James	詹姆士
Richard	理查
Lefty	老左
Robin	羅蘋
Bertha	貝莎
Ernie	厄尼
Bert	伯特
Jane	珍
Rodney	羅德尼
Faith	費絲
Eve	伊芙
Eve's	伊芙的
Fawn	芳恩
Mike	麥克
Jaws	大白鯊
