a rodeo clown.	牛仔小丑。
another cowboy.	又一個牛仔。
a cowgirl.	一隻牛仔妹。
a cow.	一頭母牛。
4How far is the Palamino Ranch from the Humongous Tetons?	4帕拉米諾牧場距離龐大提頓山脈有多遠？
Spittin' distance	唾沫飛濺的距離
Just down the road	就在路邊而已
2 miles	兩英里
5 miles	五英里
1What will the folks at the Palamino Ranch show the wimmenfolk how to do?	1帕拉米諾牧場的傢伙要教妹妹們怎樣的把戲？
Pull taffy under the stars	在星光下拉太妃糖
Make patchwork quilts at the Bee	在蜜蜂大會上縫拼布棉被
Churn ice cream down by the barn	在穀倉邊搖冰淇淋
Lance boils up at the infirmary	蘭斯在醫療室發炎腫起來
2According to the "Palamino Ranch" brochure, where can you see oozing paint pots year 'round?	2根據「帕拉米諾牧場」手冊，你在哪裡可以常年看到油漆罐滲漏？
Moaning Glory Acres	呻吟光榮農場
Carla's Bad Caverns	卡拉的爛洞穴
The Lost Wages Mystery Hole	失落薪資謎樣洞
Coarsegold, California	粗金鎮，加州
3What do the cowgirls have at the Palamino Ranch?	3牧場的牛仔妹帶啥上來？
All the rope you'll need	你需要用到的全部繩子
Band-aids 'n banjos	OK 繃和班卓琴
Jugs o' moonshine	一罐罐月光酒
Bed rolls 'n chaps	睡袋和皮褲
2How does the Vice President of "Whose Whom's" Direct Male Department sign his name?	2「誰與誰」直銷男性部副總怎樣簽名？
Sincerely	真摯地
Enthusiastically	熱情洋溢地
Hungrily	飢渴地
Admiringly	仰慕地
1Which of his credit cards does "Whose Whom" want Larry to use?	1「誰與誰」要賴瑞用哪張信用卡？
None	沒有
Master-Pay-It	萬事達刷它
American Espresso	美國濃縮咖啡
Whiner's Club	哭訴者俱樂部
4Which of the following is NOT one of the activities at the Palamino Ranch?	4以下哪樣 NOT 是帕拉米諾牧場的活動？
Ropin' fillies	套馬兒
Cattle rustlin'	偷牛
1The phone number for the Palamino Ranch is	1帕拉米諾牧場的電話號碼是
1-800-ZIP-DOWN	1-800-ZIP-DOWN
1-800-KIS-QUIK	1-800-KIS-QUIK
1-800-COW-WHIZ	1-800-COW-WHIZ
1-800-MIZ-BULL	1-800-MIZ-BULL
3The map that shows you how to get to the Palamino Ranch is	3這張告訴你怎樣去帕拉米諾牧場的地圖是
a side of bacon.	一片培根。
a slab of steak.	一塊牛排。
a pile of beans.	一堆豆子。
an ear of corn.	一穗玉米。
2"Whose Whom" thinks Larry and men like him are	2「誰與誰」覺得賴瑞和他這種傢伙是
manly, macho and miserable.	男子氣十足、超級陽剛又慘兮兮。
fabulouso, studly, sensitive.	超棒、英挺又敏感。
brilliant, bronzed, brawny.	聰慧、古銅色又肌肉發達。
sweet, suave and sophisticated.	甜蜜、殷勤又老練。
1Whose address appears at the bottom of the "Whose Whom" brochure?	1誰的地址出現在「誰與誰」手冊底部？
Sierra On-Line's	Sierra On-Line 的
"Whose Whom In America's"	「美國誰與誰的」
Lawrence Laffer's	勞倫斯·拉弗的
None. This is a trick question!	都沒有。這是個詭計題！
CHEATER, CHEATER, CHEATER!!!	作弊鬼，作弊鬼，作弊鬼！！！
Oh well, O.K., since it's you, go on and play, but only this time!	算了吧，好啦，既然是你，就玩吧，但只有這一次！
Use the TAB key to select, then ENTER to continue.	按 TAB 鍵選擇，然後按 ENTER 繼續。
Sorry, but this game can only be played by adults, or with an adult. Please find an adult, come back, and try again.	抱歉，這款遊戲只能成人玩，或者跟成人一起玩。請找一個成人，回來，再試一次。
Oh no, you're not!	哎呀，你才不是勒！
Shouldn't you be doing your homework?	你不應該在做功課嗎？
Yeah, sure you are!	是呀，你當然是勒！
Gee, that's funny; you look much older!	天哪，真有趣；你看起來老多了！
	
To verify your age, please answer these five simple questions.	要驗證你的年齡，請回答這五個簡單問題。
Correct	正確
Oops. You blew that one!  But since you came so close, you get to play in spite of yourself!	哎呀。你搞砸了！但既然你差點答對，你儘管玩吧！
Oops. You blew that one!  If you miss another, you can't possibly be old enough to play this game!	哎呀。你搞砸了！再答錯一題，你就不夠年紀玩這款遊戲了！
	
And now a question that won't tax your memory. This question refers to the documentation that came with your copy of this game.	現在是個不會考驗你記性的題目。這題指的是你的遊戲光碟附帶的文件。
Oh, oh! You couldn't possibly miss that question and have a legal copy of the game!	哎，哎！你不可能答錯這題卻擁有正版遊戲！
Thank you.  And now, slip into your leisure suit and prepare to enter the "Land of the Lounge Lizards" with "Leisure Suit Larry!"	謝謝。現在，穿上你的休閒服，準備跟「休閒服賴瑞」進入「遊手好閒蜥蜴人之地」！
3Johnny Carson is	3強尼·卡森是
a singer.	歌手。
David Letterman's sidekick.	大衛·萊特曼的搭檔。
Ed McMahon's sidekick.	艾德·麥克馬洪的搭檔。
an actor.	演員。
4VCR stands for	4VCR 代表
Very Confusing Record.	非常混亂的紀錄。
Visual Cartridge Recording.	視覺卡帶紀錄。
Very Complete Record.	非常完整的紀錄。
Video Cassette Recorder.	錄影機。
1The East Coast is	1東岸是
home of the Mets.	大都會隊的家鄉。
a country.	一個國家。
where people talk funny.	人們說話奇怪的地方。
adjacent to Texas.	鄰接德州。
3Is this software pirated?	3這軟體是盜版嗎？
Yes.	是的。
I'm not talking.	我不說。
No. (How could you even ask!)	不是。(你怎麼可能問！)
No, just borrowed.	不是，只是借的。
0Pia Zadora is	0碧亞·札多拉是
sexy.	辣。
short.	矮個子。
all of the above.	以上全部。
2The world is	2世界是
flat.	平的。
spherical.	球形的。
a big place.	一個大地方。
near Fresno.	靠近弗雷斯諾。
4"Let It Be" was recorded by	4「Let It Be」是由
the Rolling Stones.	滾石樂隊。
the Monkees.	猴子樂隊。
Creedence Clearwater.	信譽清水樂隊。
the Beatles.	披頭四。
4All politicians are	4所有政客都是
hardworking.	勤勞的。
honest.	誠實的。
ethical.	有道德的。
on the public payroll.	領公帑的。
1Lingerie is	1內衣是
a kind of car.	一種車。
a French food.	法國食物。
edible.	可吃的。
2Paul, John, Ringo and	2保羅、約翰、林哥和
Fred.	弗雷德。
George.	喬治。
Harry.	哈利。
me.	我。
2During the 70's, Carroll O'Connor portrayed a	2在 70 年代，卡洛爾·奧康納飾演了一個
kindly doctor.	親切的醫生。
lovable bigot.	可愛的偏執狂。
